"","transcript","count"
"238","AC026786.1-201",0
"239","AC027644.4-201",0
"240","AC027796.3-201",0
"241","AC034228.3-202",0
"242","AC036214.3-201",0
"243","AC037459.1-201",0
"244","AC046185.1-201",0
"245","AC048338.1-201",0
"246","AC048338.2-204",0
"247","AC055811.2-201",0
"248","AC055839.2-201",0
"249","AC058822.1-201",0
"250","AC067752.1-206",0
"251","AC067968.1-201",0
"252","AC068547.1-203",0
"253","AC068580.4-203",0
"254","AC068775.1-201",0
"255","AC068831.8-201",0
"256","AC068946.1-202",0
"257","AC069257.4-201",0
"258","AC069288.1-201",0
"259","AC069444.2-201",0
"260","AC069503.2-201",0
"261","AC072022.2-201",0
"262","AC073082.1-201",0
"263","AC073111.4-204",72
"264","AC073508.2-202",0
"265","AC073610.2-201",0
"266","AC078815.1-201",0
"267","AC078927.1-201",0
"268","AC079447.1-201",0
"269","AC079594.2-201",0
"270","AC083977.1-201",0
"271","AC084337.2-202",0
"272","AC087498.1-201",0
"273","AC087632.2-203",0
"274","AC087721.2-203",0
"275","AC090227.2-201",0
"276","AC090360.1-202",0
"277","AC090517.4-201",0
"278","AC090527.3-201",0
"279","AC091167.2-201",0
"280","AC091167.7-201",0
"281","AC091551.1-201",0
"282","AC091959.3-201",0
"283","AC092042.3-203",0
"284","AC092111.3-201",0
"285","AC092143.1-201",0
"286","AC092329.3-201",0
"287","AC092442.1-201",0
"288","AC092587.1-201",0
"289","AC092647.5-201",0
"290","AC092718.3-202",0
"291","AC092718.8-201",0
"292","AC092835.1-201",0
"293","AC093155.3-201",0
"294","AC093227.2-202",0
"295","AC093323.1-203",0
"296","AC093423.3-201",0
"297","AC093512.2-209",165
"298","AC093525.2-201",0
"299","AC093827.5-201",0
"300","AC093884.1-201",0
"301","AC093899.2-201",0
"302","AC097104.1-201",0
"303","AC097625.2-201",0
"304","AC097634.4-201",0
"305","AC097636.1-202",0
"306","AC097637.1-201",0
"307","AC098484.3-203",0
"308","AC098582.1-201",0
"309","AC098588.2-201",0
"310","AC098650.1-201",0
"311","AC098850.3-201",0
"312","AC099489.1-203",0
"313","AC100868.1-201",0
"314","AC104389.6-202",0
"315","AC104452.1-203",0
"316","AC104472.3-201",0
"317","AC104532.1-201",0
"318","AC105052.1-201",0
"319","AC105052.3-201",0
"320","AC106741.2-201",0
"321","AC106886.6-201",0
"322","AC107871.1-202",0
"323","AC108488.2-202",0
"324","AC108941.2-201",0
"325","AC109583.1-201",0
"326","AC110275.1-201",0
"327","AC112128.1-201",0
"328","AC112229.3-201",0
"329","AC112504.2-201",0
"330","AC113189.9-201",0
"331","AC113348.1-201",0
"332","AC113348.2-201",0
"333","AC113554.1-201",0
"334","AC114490.2-201",0
"335","AC114490.3-201",0
"336","AC116366.3-205",0
"337","AC117457.1-201",0
"338","AC118281.1-201",0
"339","AC118549.1-202",0
"340","AC118553.2-203",0
"341","AC119396.1-202",0
"342","AC119676.1-201",0
"343","AC120114.4-201",0
"344","AC124312.1-201",0
"345","AC126283.2-201",0
"346","AC127029.3-201",0
"347","AC131160.1-201",0
"348","AC132217.2-201",0
"349","AC134669.1-201",0
"350","AC134980.3-201",0
"351","AC135068.1-201",0
"352","AC135068.3-201",0
"353","AC135178.3-201",0
"354","AC136428.1-201",28
"355","AC138647.1-201",0
"356","AC138696.1-201",0
"357","AC138894.1-201",0
"358","AC138969.1-205",0
"359","AC139491.7-201",0
"360","AC139530.2-201",0
"361","AC142391.1-201",0
"362","AC144573.1-201",0
"363","AC231656.1-201",0
"364","AC231657.3-201",0
"365","AC233723.1-201",0
"366","AC236972.4-201",0
"367","AC242842.3-201",0
"368","AC243547.3-202",0
"369","AC244197.3-201",0
"370","AC244517.10-201",0
"371","AC245033.1-201",0
"372","AC253536.7-201",0
"373","AC253572.1-201",0
"374","ACAA1-202",159
"375","ACAA2-201",314
"376","ACACA-231",0
"377","ACACB-201",0
"378","ACAD10-201",0
"379","ACAD11-201",0
"380","ACAD8-201",192
"381","ACAD9-201",340
"382","ACADL-201",0
"383","ACADM-202",422
"384","ACADS-201",0
"385","ACADSB-201",0
"386","ACADVL-203",1101
"387","ACAN-207",0
"388","ACAP1-201",411
"389","ACAP2-201",382
"390","ACAP3-202",0
"391","ACAT1-201",905
"392","ACAT2-201",234
"393","ACBD3-201",532
"394","ACBD4-203",0
"395","ACBD5-205",124
"396","ACBD6-207",403
"397","ACBD7-201",0
"398","ACCS-201",0
"399","ACCSL-201",0
"400","ACD-213",257
"401","ACE-202",0
"402","ACE2-202",0
"403","ACER1-201",0
"404","ACER2-201",0
"405","ACER3-212",0
"406","ACHE-204",0
"407","ACIN1-201",460
"408","ACKR1-204",0
"409","ACKR2-201",0
"410","ACKR3-201",0
"411","ACKR4-201",0
"412","ACLY-207",1526
"413","ACMSD-201",0
"414","ACO1-201",289
"415","ACO2-201",1312
"416","ACOD1-201",0
"417","ACOT1-201",0
"418","ACOT11-201",0
"419","ACOT12-201",0
"420","ACOT13-201",114
"421","ACOT2-201",0
"422","ACOT4-201",0
"423","ACOT6-203",0
"424","ACOT7-202",298
"425","ACOT8-201",106
"426","ACOT9-201",142
"427","ACOX1-202",304
"428","ACOX2-201",0
"429","ACOX3-201",153
"430","ACOXL-202",0
"431","ACP1-201",333
"432","ACP2-201",280
"433","ACP3-202",0
"434","ACP4-201",0
"435","ACP5-201",0
"436","ACP6-205",0
"437","ACP7-201",0
"438","ACR-201",0
"439","ACRBP-201",0
"440","ACRV1-201",0
"441","ACSBG1-201",0
"442","ACSBG2-202",0
"443","ACSF2-201",80
"444","ACSF3-218",0
"445","ACSL1-211",0
"446","ACSL3-201",387
"447","ACSL4-201",353
"448","ACSL5-204",275
"449","ACSL6-231",0
"450","ACSM1-201",0
"451","ACSM2A-209",0
"452","ACSM2B-201",0
"453","ACSM3-201",0
"454","ACSM4-201",0
"455","ACSM5-201",0
"456","ACSM6-202",0
"457","ACSS1-201",590
"458","ACSS2-202",124
"459","ACSS3-203",0
"460","ACTA1-202",0
"461","ACTA2-201",3
"462","ACTB-217",6128
"463","ACTBL2-201",0
"464","ACTC1-201",0
"465","ACTG1-209",5462
"466","ACTG2-202",0
"467","ACTL10-201",0
"468","ACTL6A-202",838
"469","ACTL6B-201",0
"470","ACTL7A-201",0
"471","ACTL7B-201",0
"472","ACTL8-201",0
"473","ACTL9-201",0
"474","ACTN1-203",0
"475","ACTN2-201",0
"476","ACTN3-203",0
"477","ACTN4-201",1157
"478","ACTR10-201",184
"479","ACTR1A-201",342
"480","ACTR1B-201",331
"481","ACTR2-201",1789
"482","ACTR3-201",1711
"483","ACTR3B-201",0
"484","ACTR3C-201",0
"485","ACTR5-201",99
"486","ACTR6-201",128
"487","ACTR8-201",192
"488","ACTRT1-201",0
"489","ACTRT2-201",0
"490","ACTRT3-201",0
"491","ACVR1-207",0
"492","ACVR1B-201",0
"493","ACVR1C-201",0
"494","ACVR2A-201",0
"495","ACVR2B-201",0
"496","ACVRL1-201",0
"497","ACY1-201",251
"498","ACY3-201",0
"499","ACYP1-201",52
"500","ACYP2-202",49
"501","AD000671.1-201",0
"502","AD000671.2-201",0
"503","ADA-201",718
"504","ADA2-203",1789
"505","ADAD1-201",0
"506","ADAD2-202",0
"507","ADAL-204",0
"508","ADAM10-201",1905
"509","ADAM11-201",0
"510","ADAM12-202",0
"511","ADAM15-203",431
"512","ADAM17-201",158
"513","ADAM18-201",0
"514","ADAM19-201",0
"515","ADAM2-201",0
"516","ADAM20-202",0
"517","ADAM21-201",0
"518","ADAM22-201",0
"519","ADAM23-201",0
