"","transcript","count"
"242","CANX-201",4326
"243","CAP1-203",1781
"244","CAPN1-208",1029
"245","CAPN2-201",707
"246","CAPNS1-206",1323
"247","CAPRIN1-201",1538
"248","CAPZA1-201",738
"249","CAPZA2-201",859
"250","CAPZB-201",926
"251","CARHSP1-202",258
"252","CARS2-201",227
"253","CASP1-215",269
"254","CASP10-202",993
"255","CASP3-201",654
"256","CASP7-201",171
"257","CASP8-205",486
"258","CAST-233",684
"259","CAT-201",446
"260","CBFB-202",336
"261","CBL-201",397
"262","CBR1-201",284
"263","CBR3-201",42
"264","CBX1-202",158
"265","CBX3-201",698
"266","CBX5-201",367
"267","CCAR1-201",318
"268","CCDC12-202",169
"269","CCDC124-203",229
"270","CCDC22-201",136
"271","CCDC43-201",114
"272","CCDC47-201",863
"273","CCDC50-201",329
"274","CCDC51-201",102
"275","CCDC58-201",111
"276","CCDC6-201",134
"277","CCDC86-201",923
"278","CCDC88B-202",313
"279","CCDC9-207",150
"280","CCDC97-201",197
"281","CCL3-204",978
"282","CCNA2-202",579
"283","CCS-208",84
"284","CCT2-201",1519
"285","CCT3-201",2531
"286","CCT4-201",1695
"287","CCT5-201",1789
"288","CCT6A-201",1764
"289","CCT7-201",2085
"290","CCT8-201",2283
"291","CD2AP-201",276
"292","CD2BP2-201",285
"293","CD38-201",349
"294","CD44-208",4395
"295","CD47-202",984
"296","CD48-203",1483
"297","CD58-202",478
"298","CD59-214",1240
"299","CD74-201",4042
"300","CD9-203",1656
"301","CDC37-201",773
"302","CDC42-206",1107
"303","CDC5L-201",564
"304","CDC73-201",486
"305","CDK1-203",714
"306","CDK5-204",208
"307","CDK5RAP3-201",512
"308","CDKN2AIP-203",171
"309","CDV3-201",1393
"310","CEBPZ-201",535
"311","CFL1-203",1943
"312","CGGBP1-202",174
"313","CHAC2-201",99
"314","CHAF1A-201",419
"315","CHAF1B-201",303
"316","CHAMP1-204",344
"317","CHCHD1-201",341
"318","CHCHD3-203",363
"319","CHCHD4-202",127
"320","CHCHD7-202",125
"321","CHD4-231",0
"322","CHERP-203",564
"323","CHID1-204",677
"324","CHMP1A-201",123
"325","CHMP2A-206",709
"326","CHMP4B-201",1539
"327","CHMP5-201",199
"328","CHMP7-202",258
"329","CHORDC1-201",89
"330","CHTOP-204",307
"331","CIAO1-203",333
"332","CIAPIN1-201",285
"333","CIB1-201",306
"334","CIRBP-215",656
"335","CISD1-201",256
"336","CISD2-201",360
"337","CKAP4-201",958
"338","CKAP5-210",1548
"339","CKS1B-201",321
"340","CKS2-201",217
"341","CLASP1-215",370
"342","CLIC1-207",2044
"343","CLIC2-202",200
"344","CLIC4-201",753
"345","CLINT1-207",797
"346","CLN6-201",963
"347","CLNS1A-204",422
"348","CLPB-209",204
"349","CLPP-201",677
"350","CLPTM1-201",1730
"351","CLPTM1L-201",2974
"352","CLPX-201",389
"353","CLTA-204",555
"354","CLTB-201",221
"355","CLTC-201",4813
"356","CLYBL-203",67
"357","CMAS-201",222
"358","CMC1-205",42
"359","CMPK1-203",470
"360","CNBP-207",1124
"361","CNDP2-201",1646
"362","CNGB3-201",0
"363","CNN2-201",1652
"364","CNOT1-201",1439
"365","CNOT3-202",321
"366","CNOT7-201",229
"367","CNP-202",558
"368","CNPY2-201",391
"369","CNPY3-201",256
"370","COASY-201",399
"371","COBLL1-202",129
"372","COG3-201",0
"373","COMMD3-201",129
"374","COMMD3-BMI1-205",0
"375","COMMD4-201",521
"376","COMMD6-203",126
"377","COMMD8-201",125
"378","COMMD9-201",158
"379","COMT-202",258
"380","COMTD1-201",385
"381","COPA-201",2559
"382","COPB1-201",1351
"383","COPB2-201",1252
"384","COPE-201",1445
"385","COPG1-201",1954
"386","COPG2-202",238
"387","COPS2-202",540
"388","COPS3-201",752
"389","COPS4-201",362
"390","COPS5-201",417
"391","COPS6-201",761
"392","COPS7A-204",142
"393","COPS7B-201",177
"394","COPS8-201",242
"395","COPZ1-201",592
"396","CORO1A-201",2558
"397","CORO1C-201",1717
"398","CORO7-201",0
"399","CORO7-PAM16-202",0
"400","COX17-201",212
"401","COX20-203",160
"402","COX4I1-203",977
"403","COX5A-201",1028
"404","COX5B-201",775
"405","COX6B1-203",567
"406","COX6C-209",405
"407","COX7A2-201",978
"408","COX7C-203",634
"409","CPNE1-202",533
"410","CPNE3-203",537
"411","CPOX-204",179
"412","CPPED1-202",82
"413","CPSF1-212",636
"414","CPSF2-201",382
"415","CPSF3-201",413
"416","CPSF6-201",793
"417","CPSF7-205",443
"418","CPT1A-201",541
"419","CPT2-201",393
"420","CRIP1-201",0
"421","CRKL-201",265
"422","CRLF3-201",180
"423","CROCC-201",0
"424","CRYBB1-202",677
"425","CS-201",1177
"426","CSDE1-218",1407
"427","CSE1L-201",1259
"428","CSK-201",728
"429","CSNK2A1-201",44
"430","CSNK2B-202",318
"431","CSRP1-202",378
