,15,20,25,30,35,40
OR4F5-201,0.04269449715370019,0.0730550284629981,0.0872865275142315,0.1015180265654649,0.1157495256166983,0.12998102466793168
OR4F29-201,0.0,0.0,0.0,0.0,0.0,0.0
OR4F16-201,0.0,0.0,0.0,0.0,0.0,0.0
SAMD11-202,0.7422761048103246,0.9902229174814235,0.9906140007821665,0.9886585842784513,0.986703167774736,0.9847477512710208
NOC2L-201,0.7435618425825172,0.9883931809938339,0.9912948857453754,0.9894813202756619,0.9876677548059485,0.985854189336235
KLHL17-201,0.7958706661472537,0.991819244253993,0.9906505648617062,0.9887027658745617,0.9867549668874173,0.9848071679002727
PLEKHN1-202,0.7727087576374746,0.9922606924643584,0.990224032586558,0.9881873727087577,0.9861507128309572,0.9841140529531568
PERM1-202,0.7023952095808383,0.9565868263473054,0.9631736526946107,0.9721556886227545,0.9826347305389221,0.9853293413173653
HES4-201,0.7401129943502824,0.9774011299435028,0.9728813559322034,0.9672316384180791,0.9615819209039548,0.9559322033898305
ISG15-203,0.7315541601255887,0.9686028257456829,0.9623233908948194,0.9544740973312402,0.9466248037676609,0.9387755102040817
AGRN-201,0.7776412776412777,0.9956319956319957,0.9967239967239967,0.996041496041496,0.9953589953589954,0.9946764946764947
RNF223-201,0.621578947368421,0.9163157894736842,0.9515789473684211,0.9663157894736842,0.97,0.9710526315789474
C1orf159-205,0.7957631721890277,0.9891363389462249,0.9869636067354699,0.9842476914720261,0.9815317762085823,0.9788158609451385
TTLL10-203,0.776332899869961,0.9861291720849589,0.9891634156913741,0.987429562201994,0.9852622453402687,0.9830949284785435
TNFRSF18-203,0.7645429362880887,0.9824561403508771,0.9778393351800554,0.9732225300092336,0.9686057248384118,0.96398891966759
TNFRSF4-201,0.7330232558139534,0.9804651162790697,0.9776744186046512,0.9730232558139534,0.9683720930232558,0.9637209302325581
SDF4-202,0.754601226993865,0.9877300613496932,0.9877300613496932,0.9851738241308794,0.9826175869120655,0.9800613496932515
B3GALT6-201,0.7843137254901961,0.9914438502673797,0.9914438502673797,0.9896613190730837,0.9878787878787879,0.986096256684492
C1QTNF12-201,0.749034749034749,0.9797297297297297,0.9768339768339769,0.972007722007722,0.9671814671814671,0.9623552123552124
UBE2J2-202,0.8115044247787611,0.9876106194690265,0.9880530973451327,0.9871681415929203,0.9849557522123894,0.9827433628318584
SCNN1D-205,0.7324590163934426,0.9862295081967213,0.9901639344262295,0.9904918032786886,0.9888524590163934,0.9872131147540983
ACAP3-202,0.7719483258634326,0.9931452675982072,0.9936725547060374,0.9923543369364619,0.9910361191668864,0.9897179013973109
PUSL1-201,0.8186157517899761,0.984884645982498,0.9809069212410502,0.9769291964996022,0.9729514717581543,0.9689737470167065
INTS11-208,0.7809839167455062,0.988647114474929,0.988647114474929,0.9862819299905392,0.9839167455061495,0.9815515610217597
CPTP-201,0.7530176415970288,0.9907149489322191,0.9888579387186629,0.9865366759517178,0.9842154131847726,0.9818941504178273
TAS1R3-201,0.7505035971223022,0.9916546762589928,0.9930935251798562,0.9916546762589928,0.9902158273381295,0.9887769784172662
DVL1-201,0.74553706505295,0.9776096822995461,0.9866868381240544,0.98910741301059,0.98910741301059,0.9881996974281392
MXRA8-201,0.7580290365156181,0.989001319841619,0.9894412670479542,0.9872415310162781,0.9850417949846019,0.9828420589529256
AURKAIP1-203,0.8143656716417911,0.980410447761194,0.9776119402985075,0.9729477611940298,0.9682835820895522,0.9636194029850746
CCNL2-201,0.827120822622108,0.984254498714653,0.9900385604113111,0.990681233933162,0.9890745501285347,0.9874678663239075
MRPL20-201,0.8128571428571428,0.9728571428571429,0.9657142857142857,0.9585714285714285,0.9514285714285714,0.9442857142857143
ANKRD65-205,0.64337899543379,0.9118721461187215,0.9292237442922374,0.9378995433789954,0.9465753424657535,0.9534246575342465
TMEM88B-201,0.6565040650406504,0.9532520325203252,0.9512195121951219,0.9410569105691057,0.9308943089430894,0.9207317073170732
VWA1-203,0.7831700801424755,0.9946571682991986,0.9946571682991986,0.9935440783615316,0.9924309884238647,0.9913178984861977
ATAD3C-201,0.4635093167701863,0.6438923395445134,0.7194616977225673,0.7730331262939959,0.818064182194617,0.8478260869565217
ATAD3B-206,0.4031234748657882,0.568081991215227,0.6224987798926306,0.6637384089799903,0.6949731576378722,0.7240117130307467
ATAD3A-203,0.2503022974607013,0.3825070536074164,0.43611446997178555,0.48327287384119305,0.5300282144296654,0.5719467956469165
TMEM240-201,0.6973207820419985,0.9594496741491673,0.9710354815351194,0.9761042722664736,0.9753801593048516,0.9717595944967415
SSU72-201,0.793613707165109,0.9813084112149533,0.9813084112149533,0.9774143302180686,0.9735202492211839,0.969626168224299
FNDC10-201,0.7471751412429378,0.9858757062146892,0.9887005649717514,0.986346516007533,0.9839924670433146,0.981638418079096
MIB2-219,0.7667170953101362,0.9906202723146748,0.9927382753403934,0.9912254160363086,0.9897125567322239,0.9881996974281392
MMP23B-201,0.7724358974358975,0.9815705128205128,0.9807692307692307,0.9767628205128205,0.9727564102564102,0.96875
CDK11B-203,0.1180787191460974,0.18312208138759173,0.218812541694463,0.25083388925950634,0.27951967978652437,0.30620413609072716
SLC35E2B-205,0.28023002797637553,0.3846751631955238,0.4148274790177184,0.43985079266397265,0.463009014609885,0.48476841778054086
CDK11A-208,0.11997319034852547,0.18431635388739948,0.21816353887399464,0.2489946380697051,0.2761394101876676,0.30294906166219837
SLC35E2A-204,0.18274273001747973,0.290163673923407,0.34689337358970285,0.39488320355951056,0.4330208167805498,0.4630541871921182
